Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,,,,
São Paulo,-23.62,-46.65,-3,802,,,,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2},,,
1,1,1,17.4,15.9,14.8,92.5,0.011758182,86,1.089,47.2,2,120,1,0,0,0,0,0,,,
1,1,2,17.4,15.9,14.8,92.5,0.011758182,86,1.089,47.2,2,160,0,0,0,0,0,0,,,
1,1,3,17.2,16.1,15.3,92.4,0.012099917,90,1.088,47.8,1,170,0,0,0,0,0,0,,,
1,1,4,17.2,16.2,15.4,92.3,0.012237255,91,1.086,48.2,0,0,0,0,0,0,0,0,,,
1,1,5,16.4,15.9,15.4,92.3,0.012199983,95,1.089,47.3,1,70,9,0,0,0,0,0,,,
1,1,6,16,15.6,15.1,92.3,0.012000972,96,1.091,46.4,8,50,10,30,11,1,3,10,,,
1,1,7,16.4,15.8,15.2,92.4,0.012064295,94,1.091,46.9,7,30,10,289,107,13,30,94,,,
1,1,8,16.8,16,15.3,92.4,0.012142869,93,1.089,47.5,5,30,8,591,313,127,226,186,,,
1,1,9,17.8,16.7,15.9,92.4,0.01259861,90,1.085,49.7,4,30,4,866,633,504,701,128,,,
1,1,10,19.5,17.5,16.2,92.4,0.012917128,83,1.078,52.3,5,50,1,1098,851,708,826,143,,,
1,1,11,22.2,18.8,17.0,92.4,0.013529487,74,1.067,56.6,1,20,0,1270,978,812,851,166,,,
1,1,12,25,19.6,16.9,92.4,0.013477196,62,1.057,59.3,2,30,1,1370,1062,884,886,178,,,
1,1,13,25.9,20,17.1,92.3,0.013690009,59,1.052,60.8,4,330,6,1392,905,603,613,302,,,
1,1,14,27.7,20.5,17.1,92.2,0.013684828,53,1.045,62.6,2,340,8,1334,707,286,313,421,,,
1,1,15,26.7,19.5,15.9,92.1,0.012682746,53,1.049,59.0,4,10,9,1200,546,138,173,408,,,
1,1,16,22.3,19.2,17.5,92.1,0.01409119,76,1.062,58.1,8,70,9,999,454,115,177,340,,,
1,1,17,23.3,19,16.7,92.1,0.013397188,68,1.060,57.4,9,80,8,745,395,160,324,235,,,
1,1,18,21.1,19,17.8,92.0,0.014330179,83,1.065,57.5,4,130,9,455,207,52,132,155,,,
1,1,19,21,19.3,18.3,92.0,0.014790733,86,1.064,58.6,3,180,8,149,79,32,74,47,,,
1,1,20,20.8,19.6,18.8,92.0,0.01529861,90,1.064,59.6,2,120,6,0,0,0,0,0,,,
1,1,21,20.3,19.4,18.7,92.1,0.015206833,92,1.067,58.9,3,130,8,0,0,0,0,0,,,
1,1,22,20.4,19.5,18.8,92.1,0.015306406,92,1.067,59.2,3,90,4,0,0,0,0,0,,,
1,1,23,20,19.5,19.0,92.2,0.015456376,96,1.069,59.2,2,60,1,0,0,0,0,0,,,
1,1,24,20.1,19.5,18.9,92.2,0.015414518,95,1.069,59.2,3,70,3,0,0,0,0,0,,,
1,2,1,20,18.4,17.4,92.2,0.013934006,86,1.072,55.4,6,40,3,0,0,0,0,0,,,
1,2,2,19.9,18.3,17.3,92.1,0.013856846,86,1.071,55.1,6,30,0,0,0,0,0,0,,,
1,2,3,19.4,18.3,17.5,92.1,0.014065232,90,1.073,55.1,7,30,0,0,0,0,0,0,,,
1,2,4,18.6,17.9,17.3,92.0,0.013879289,94,1.075,53.8,7,50,0,0,0,0,0,0,,,
1,2,5,18.2,17.6,17.0,92.0,0.013649821,95,1.077,52.8,5,40,0,0,0,0,0,0,,,
1,2,6,18.1,17.5,16.9,92.1,0.013545164,95,1.078,52.4,3,20,4,29,21,17,42,4,,,
1,2,7,18.2,17.7,17.2,92.1,0.013765816,95,1.078,53.1,4,20,5,286,199,149,348,50,,,
1,2,8,20,18,16.8,92.2,0.01339772,83,1.073,54.0,2,360,10,588,218,26,46,192,,,
1,2,9,21.6,19.1,17.7,92.2,0.014226673,80,1.066,57.7,2,330,9,864,393,99,138,294,,,
1,2,10,24,19,16.4,92.2,0.013089504,64,1.059,57.3,3,330,10,1097,406,48,56,357,,,
1,2,11,24,20,18.0,92.2,0.014499183,70,1.056,60.9,5,330,8,1269,673,272,285,400,,,
1,2,12,25.2,20.1,17.6,92.1,0.01416134,64,1.052,61.3,8,340,9,1370,623,157,157,466,,,
1,2,13,26.5,20.5,17.6,92.1,0.0142026,59,1.047,62.7,6,290,9,1392,633,160,162,474,,,
1,2,14,28,22,19.4,92.0,0.015870287,61,1.038,68.5,6,300,9,1335,607,153,167,454,,,
1,2,15,28.9,21.5,18.2,91.9,0.014740554,53,1.036,66.5,7,290,8,1201,636,258,323,379,,,
1,2,16,29,21.5,18.1,91.9,0.014698878,53,1.035,66.5,8,310,9,1000,455,115,178,340,,,
1,2,17,28.6,21.2,17.8,91.8,0.014428558,53,1.036,65.4,7,350,9,746,340,86,174,254,,,
1,2,18,28.2,20.8,17.4,91.8,0.013994829,53,1.038,63.9,6,320,9,456,208,52,132,155,,,
1,2,19,27.6,20.5,17.1,91.8,0.01380071,54,1.040,62.8,5,300,10,150,56,7,15,49,,,
1,2,20,26.7,20.5,17.6,91.9,0.01415651,58,1.044,62.8,3,340,10,0,0,0,0,0,,,
1,2,21,25.6,19.3,16.1,91.9,0.012893097,57,1.050,58.4,0,0,10,0,0,0,0,0,,,
1,2,22,25.2,19.3,16.3,92.0,0.013041884,59,1.052,58.4,3,340,10,0,0,0,0,0,,,
1,2,23,25,19.3,16.4,92.0,0.013124919,60,1.053,58.4,0,0,10,0,0,0,0,0,,,
1,2,24,24.2,20,17.9,92.1,0.014433748,69,1.055,60.9,2,360,10,0,0,0,0,0,,,
1,3,1,23.8,20,18.1,92.0,0.014618576,72,1.055,61.0,1,360,6,0,0,0,0,0,,,
1,3,2,23.4,20.3,18.7,91.9,0.015239751,76,1.054,62.2,3,360,10,0,0,0,0,0,,,
1,3,3,21.5,19.7,18.6,91.9,0.015166187,85,1.061,60.0,13,270,10,0,0,0,0,0,,,
1,3,4,18.9,18.5,18.0,91.9,0.014577533,96,1.071,55.9,6,280,10,0,0,0,0,0,,,
1,3,5,19.3,19.1,18.7,91.8,0.015255419,98,1.068,58.0,6,350,10,0,0,0,0,0,,,
